,BCR,NB_BCR,FAR,NB_FAR,AHI,NB_AHI,NDVI,DIS_CBD,DIS_MRT
BCR,1.0,0.7628599459286093,0.792564355355298,0.6278473366359287,0.21205764147388514,0.2540495385196141,-0.5524926820773373,-0.06398679625670621,-0.22010107851674868
NB_BCR,0.7628599459286093,1.0,0.6471395915743898,0.8196571995455376,0.27857574056587636,0.3497763537559339,-0.5321633918840183,-0.07713352486428957,-0.3059003651337827
FAR,0.792564355355298,0.6471395915743898,1.0,0.7779955551928629,0.5878010538137833,0.5472296954446437,-0.45668863899306394,-0.11527417146008327,-0.3053246306956419
NB_FAR,0.6278473366359287,0.8196571995455376,0.7779955551928629,1.0,0.5897255853041471,0.7214750560707556,-0.44271927947209505,-0.16275493210563574,-0.42415683428250506
AHI,0.21205764147388514,0.27857574056587636,0.5878010538137833,0.5897255853041471,1.0,0.8136437620083822,-0.18280335643504264,-0.159792021098451,-0.3523617721098876
NB_AHI,0.2540495385196141,0.3497763537559339,0.5472296954446437,0.7214750560707556,0.8136437620083822,1.0,-0.21875206745045075,-0.21716162071029624,-0.4657807320985253
NDVI,-0.5524926820773373,-0.5321633918840183,-0.45668863899306394,-0.44271927947209505,-0.18280335643504264,-0.21875206745045075,1.0,-0.06786146527486878,-0.011519356777740365
DIS_CBD,-0.06398679625670621,-0.07713352486428957,-0.11527417146008327,-0.16275493210563574,-0.159792021098451,-0.21716162071029624,-0.06786146527486878,1.0,0.5327468005367542
DIS_MRT,-0.22010107851674868,-0.3059003651337827,-0.3053246306956419,-0.42415683428250506,-0.3523617721098876,-0.4657807320985253,-0.011519356777740365,0.5327468005367542,1.0
