Feature,Value_scaled,Value_true,Average_ECSI,Average_SEVI,Std_ECSI,Std_SEVI
NB_BCR,1.144415,0.312469,0.259369,-0.537706,0.974202,0.911075
NB_BCR,1.23262,0.320946,0.239359,-0.587639,0.977321,0.903968
NB_BCR,1.320825,0.329424,0.217034,-0.637303,0.979427,0.896831
NB_BCR,1.40903,0.337901,0.192992,-0.686468,0.981613,0.890087
NB_BCR,1.497236,0.346378,0.167548,-0.735138,0.983487,0.88368
NB_BCR,1.585441,0.354856,0.14125,-0.783204,0.985536,0.877704
NB_BCR,1.673646,0.363333,0.114393,-0.830642,0.98742,0.872193
NB_BCR,1.761851,0.37181,0.087094,-0.877423,0.989022,0.867175
NB_BCR,1.850057,0.380288,0.059462,-0.923576,0.990694,0.862635
NB_BCR,1.938262,0.388765,0.031611,-0.969109,0.992176,0.858548
NB_BCR,2.026467,0.397243,0.003716,-1.014084,0.99358,0.854937
NB_BCR,2.114672,0.40572,-0.024028,-1.058449,0.995079,0.851786
NB_BCR,2.202878,0.414197,-0.051588,-1.102198,0.99687,0.849
NB_BCR,2.291083,0.422675,-0.079067,-1.145435,0.99874,0.846529
FAR,-1.169575,0.001187,0.677618,-0.201189,0.929956,0.667227
FAR,-1.07833,0.131977,0.584899,-0.179254,0.895918,0.671244
FAR,-0.987085,0.262767,0.492809,-0.157595,0.86159,0.676161
FAR,-0.89584,0.393556,0.401705,-0.136183,0.82771,0.682203
FAR,-0.804595,0.524346,0.31206,-0.114992,0.795348,0.68955
FAR,-0.71335,0.655136,0.223946,-0.094213,0.764365,0.698046
FAR,-0.622105,0.785926,0.137399,-0.073882,0.734861,0.707607
FAR,-0.530861,0.916716,0.052514,-0.054221,0.707457,0.7183
FAR,-0.439616,1.047506,-0.030592,-0.035301,0.682428,0.730074
FAR,-0.348371,1.178296,-0.111594,-0.017199,0.660689,0.742862
FAR,-0.257126,1.309085,-0.190339,4.4e-05,0.642855,0.756654
FAR,-0.165881,1.439875,-0.266927,0.016241,0.628732,0.771055
FAR,-0.074636,1.570665,-0.341276,0.031377,0.618877,0.785979
FAR,0.016609,1.701455,-0.413356,0.045538,0.613101,0.801418
FAR,0.107854,1.832245,-0.483304,0.058739,0.610917,0.817137
FAR,0.199099,1.963035,-0.550995,0.071071,0.612458,0.833027
FAR,0.290344,2.093825,-0.616459,0.082586,0.617515,0.848969
FAR,0.381589,2.224614,-0.679651,0.093444,0.625372,0.864836
FAR,0.472834,2.355404,-0.740748,0.10365,0.635611,0.880611
FAR,0.564079,2.486194,-0.799716,0.113276,0.647993,0.896287
FAR,0.655324,2.616984,-0.856556,0.12236,0.662028,0.911791
FAR,0.746569,2.747774,-0.911343,0.130986,0.677411,0.927133
FAR,0.837814,2.878564,-0.964235,0.139183,0.693692,0.942206
FAR,0.929059,3.009354,-1.015107,0.147076,0.710363,0.95699
FAR,1.020304,3.140144,-1.063797,0.154758,0.72729,0.971504
FAR,1.111549,3.270933,-1.110351,0.162252,0.744262,0.985706
FAR,1.202794,3.401723,-1.15478,0.169562,0.76106,0.999615
FAR,1.294039,3.532513,-1.197028,0.176719,0.777459,1.013211
FAR,1.385284,3.663303,-1.237177,0.183667,0.793301,1.026422
FAR,1.476528,3.794093,-1.275233,0.190416,0.808569,1.039199
FAR,1.567773,3.924883,-1.311208,0.197027,0.823292,1.051594
FAR,1.659018,4.055673,-1.345081,0.203509,0.837396,1.06356
FAR,1.750263,4.186462,-1.376914,0.209847,0.850873,1.07508
FAR,1.841508,4.317252,-1.406697,0.216066,0.863718,1.086149
FAR,1.932753,4.448042,-1.434568,0.222062,0.87596,1.096704
FAR,2.023998,4.578832,-1.460581,0.227819,0.887488,1.106694
FAR,2.115243,4.709622,-1.484744,0.233374,0.898174,1.116131
FAR,2.206488,4.840412,-1.507261,0.238611,0.908058,1.124964
FAR,2.297733,4.971202,-1.528056,0.243666,0.917026,1.13325
FAR,2.388978,5.101991,-1.547226,0.248495,0.92509,1.140989
FAR,2.480223,5.232781,-1.564867,0.253114,0.932311,1.148181
FAR,2.571468,5.363571,-1.58111,0.257484,0.9387,1.154842
FAR,2.662713,5.494361,-1.59603,0.261584,0.944311,1.160987
FAR,2.753958,5.625151,-1.609665,0.265487,0.949307,1.166707
FAR,2.845203,5.755941,-1.622104,0.269129,0.95375,1.17197
FAR,2.936448,5.886731,-1.633373,0.272582,0.95767,1.176855
FAR,3.027693,6.01752,-1.643503,0.275815,0.961125,1.181374
FAR,3.118938,6.14831,-1.652671,0.278787,0.964252,1.18551
FAR,3.210183,6.2791,-1.660964,0.281467,0.967058,1.189289
FAR,3.301428,6.40989,-1.66836,0.283903,0.969545,1.192763
AHI,-1.59787,3.0,0.233334,0.118918,0.679311,0.816761
AHI,-1.503114,4.199134,0.21737,0.111365,0.683326,0.819266
AHI,-1.408357,5.398268,0.200892,0.103538,0.686297,0.821638
AHI,-1.313601,6.597402,0.183544,0.095433,0.687461,0.823972
AHI,-1.218844,7.796537,0.165453,0.087091,0.687218,0.826254
AHI,-1.124088,8.995671,0.146693,0.078437,0.685723,0.828474
AHI,-1.029331,10.194805,0.127216,0.069461,0.682935,0.830687
AHI,-0.934575,11.393939,0.106704,0.06012,0.678645,0.832965
AHI,-0.839819,12.593073,0.085434,0.050411,0.672993,0.835359
AHI,-0.745062,13.792207,0.063445,0.040297,0.666334,0.837846
AHI,-0.650306,14.991342,0.040966,0.029827,0.658852,0.840434
AHI,-0.555549,16.190476,0.018528,0.018904,0.651346,0.843053
AHI,-0.460793,17.38961,-0.003861,0.007634,0.643589,0.845683
AHI,-0.366036,18.588744,-0.025915,-0.003857,0.63654,0.848396
AHI,-0.27128,19.787878,-0.047282,-0.015503,0.630547,0.851271
AHI,-0.176523,20.987012,-0.068106,-0.027296,0.625365,0.85422
AHI,-0.081767,22.186147,-0.088139,-0.03921,0.620771,0.857295
AHI,0.01299,23.385281,-0.107224,-0.0513,0.617224,0.860447
AHI,0.107746,24.584415,-0.125118,-0.063592,0.614997,0.863518
AHI,0.202503,25.783549,-0.14149,-0.076189,0.614328,0.866291
AHI,0.297259,26.982683,-0.156099,-0.089207,0.615431,0.868685
AHI,0.392015,28.181817,-0.168876,-0.102452,0.617924,0.870659
AHI,0.486772,29.380951,-0.179757,-0.115834,0.621686,0.872143
AHI,0.581528,30.580086,-0.188863,-0.129488,0.62617,0.872999
AHI,0.676285,31.77922,-0.195979,-0.143219,0.631509,0.873251
AHI,0.771041,32.978354,-0.201093,-0.156899,0.637514,0.872942
AHI,0.865798,34.177488,-0.204007,-0.170479,0.644402,0.872084
AHI,0.960554,35.376622,-0.204847,-0.183933,0.652229,0.870773
AHI,1.055311,36.575756,-0.203926,-0.197123,0.660574,0.86919
AHI,1.150067,37.774891,-0.201282,-0.209969,0.669323,0.867324
AHI,1.244824,38.974025,-0.196906,-0.222463,0.678856,0.865308
AHI,1.33958,40.173159,-0.190882,-0.23454,0.688959,0.86328
AHI,1.434336,41.372293,-0.183472,-0.246135,0.69984,0.861176
AHI,1.529093,42.571427,-0.174747,-0.257256,0.71149,0.859056
AHI,1.623849,43.770561,-0.164949,-0.26786,0.723453,0.857015
AHI,1.718606,44.969696,-0.154118,-0.277957,0.735802,0.85514
AHI,1.813362,46.16883,-0.142565,-0.287718,0.748097,0.85329
AHI,1.908119,47.367964,-0.130224,-0.296995,0.760297,0.851525
AHI,2.002875,48.567098,-0.117308,-0.305852,0.772417,0.849882
AHI,2.097632,49.766232,-0.103992,-0.314291,0.784416,0.848323
AHI,2.192388,50.965366,-0.090374,-0.322302,0.796325,0.846839
AHI,2.287145,52.164501,-0.076579,-0.329921,0.808011,0.845454
AHI,2.381901,53.363635,-0.062698,-0.337153,0.819317,0.8442
AHI,2.476658,54.562769,-0.048483,-0.343986,0.830548,0.843029
AHI,2.571414,55.761903,-0.034186,-0.350502,0.84152,0.841884
AHI,2.66617,56.961037,-0.020038,-0.356739,0.852417,0.840769
AHI,2.760927,58.160171,-0.005981,-0.36269,0.863231,0.839718
AHI,2.855683,59.359306,0.008127,-0.368391,0.87411,0.838637
AHI,2.95044,60.55844,0.022177,-0.373892,0.884866,0.837506
AHI,3.045196,61.757574,0.03613,-0.379227,0.895576,0.836273
NB_AHI,-2.112866,3.000001,-0.460895,-0.882821,0.701155,0.542966
NB_AHI,-2.023904,3.857231,-0.463446,-0.856596,0.699362,0.541165
NB_AHI,-1.934942,4.714461,-0.464625,-0.829391,0.698061,0.539346
NB_AHI,-1.845981,5.571691,-0.464352,-0.801195,0.697168,0.537566
NB_AHI,-1.757019,6.428921,-0.462525,-0.771927,0.696629,0.535924
NB_AHI,-1.668058,7.286151,-0.459059,-0.741532,0.696329,0.534465
NB_AHI,-1.579096,8.143381,-0.453798,-0.710026,0.696523,0.533254
NB_AHI,-1.490134,9.000611,-0.44657,-0.677406,0.697241,0.532375
NB_AHI,-1.401173,9.857842,-0.437329,-0.643626,0.698449,0.531907
NB_AHI,-1.312211,10.715072,-0.425929,-0.608709,0.700266,0.531938
NB_AHI,-1.223249,11.572302,-0.412112,-0.572622,0.702885,0.532537
NB_AHI,-1.134288,12.429532,-0.395875,-0.535414,0.706021,0.533764
NB_AHI,-1.045326,13.286762,-0.377104,-0.49716,0.709665,0.53568
NB_AHI,-0.956364,14.143992,-0.356143,-0.457914,0.713326,0.538352
NB_AHI,-0.867403,15.001222,-0.332824,-0.417806,0.717303,0.541818
NB_AHI,-0.778441,15.858452,-0.307182,-0.377003,0.721779,0.54609
NB_AHI,-0.68948,16.715682,-0.279495,-0.335598,0.726623,0.551226
NB_AHI,-0.600518,17.572912,-0.250009,-0.2938,0.731928,0.557247
NB_AHI,-0.511556,18.430142,-0.218987,-0.251809,0.737272,0.564211
NB_AHI,-0.422595,19.287373,-0.186743,-0.209825,0.742321,0.572071
NB_AHI,-0.333633,20.144603,-0.153707,-0.167925,0.746717,0.580997
NB_AHI,-0.244671,21.001833,-0.120129,-0.126366,0.750457,0.590895
NB_AHI,-0.15571,21.859063,-0.086962,-0.085462,0.751986,0.601777
NB_AHI,-0.066748,22.716293,-0.055492,-0.045524,0.750836,0.613593
NB_AHI,0.022214,23.573523,-0.025875,-0.006773,0.747848,0.626218
NB_AHI,0.111175,24.430753,0.001587,0.030521,0.743079,0.639441
NB_AHI,0.200137,25.287983,0.026314,0.066053,0.737323,0.653215
NB_AHI,0.289098,26.145213,0.04794,0.099649,0.730173,0.667115
NB_AHI,0.37806,27.002443,0.066412,0.130884,0.72238,0.680471
NB_AHI,0.467022,27.859673,0.08188,0.159529,0.714006,0.693012
NB_AHI,0.555983,28.716903,0.094537,0.185446,0.705184,0.704282
NB_AHI,0.644945,29.574134,0.105177,0.208587,0.695563,0.71384
NB_AHI,0.733907,30.431364,0.114621,0.229245,0.685217,0.721635
NB_AHI,0.822868,31.288594,0.123258,0.247869,0.674189,0.727801
NB_AHI,0.91183,32.145824,0.131932,0.264832,0.663066,0.732645
NB_AHI,1.000792,33.003054,0.141121,0.280359,0.651488,0.736164
NB_AHI,1.089753,33.860284,0.151586,0.294881,0.640162,0.738561
NB_AHI,1.178715,34.717514,0.163685,0.308843,0.629708,0.740301
NB_AHI,1.267676,35.574744,0.178058,0.322684,0.621134,0.741566
NB_AHI,1.356638,36.431974,0.195092,0.336875,0.614289,0.742666
NB_AHI,1.4456,37.289204,0.215089,0.35179,0.609082,0.743741
NB_AHI,1.534561,38.146434,0.237636,0.367597,0.60545,0.744834
NB_AHI,1.623523,39.003665,0.262445,0.384365,0.60283,0.746104
NB_AHI,1.712485,39.860895,0.289612,0.402348,0.601086,0.747692
NB_AHI,1.801446,40.718125,0.319108,0.421654,0.600724,0.749811
NB_AHI,1.890408,41.575355,0.350675,0.442295,0.601839,0.752503
NB_AHI,1.97937,42.432585,0.384061,0.464251,0.604648,0.755888
NB_AHI,2.068331,43.289815,0.419121,0.487495,0.60916,0.75999
NB_AHI,2.157293,44.147045,0.455824,0.512004,0.614954,0.76476
NB_AHI,2.246254,45.004275,0.493983,0.537755,0.621693,0.770187
NDVI,-2.10743,0.237448,-0.29043,0.048084,0.445709,0.546665
NDVI,-2.015303,0.251677,-0.298386,0.062434,0.443092,0.541223
NDVI,-1.923177,0.265906,-0.304246,0.076641,0.440806,0.535539
NDVI,-1.831051,0.280135,-0.30803,0.090651,0.4388,0.529753
NDVI,-1.738925,0.294364,-0.309832,0.104322,0.436832,0.524133
NDVI,-1.646798,0.308593,-0.309708,0.117609,0.435181,0.518907
NDVI,-1.554672,0.322822,-0.307776,0.13038,0.433753,0.514401
NDVI,-1.462546,0.337051,-0.304148,0.142522,0.432759,0.511019
NDVI,-1.37042,0.35128,-0.298836,0.153937,0.432548,0.509207
NDVI,-1.278293,0.365509,-0.291872,0.164482,0.433255,0.509405
NDVI,-1.186167,0.379738,-0.283657,0.173961,0.434702,0.512069
NDVI,-1.094041,0.393967,-0.274121,0.182224,0.437198,0.517602
NDVI,-1.001914,0.408196,-0.263342,0.188972,0.441025,0.52621
NDVI,-0.909788,0.422425,-0.251155,0.194006,0.446455,0.538044
NDVI,-0.817662,0.436654,-0.237776,0.196948,0.45338,0.552961
NDVI,-0.725536,0.450883,-0.223103,0.197453,0.462029,0.570623
NDVI,-0.633409,0.465112,-0.206939,0.195169,0.472063,0.590517
NDVI,-0.541283,0.47934,-0.189434,0.1897,0.483502,0.611804
NDVI,-0.449157,0.493569,-0.170784,0.180677,0.495486,0.633747
NDVI,-0.357031,0.507798,-0.150637,0.167919,0.508601,0.655729
NDVI,-0.264904,0.522027,-0.129226,0.151249,0.521881,0.677021
NDVI,-0.172778,0.536256,-0.106761,0.130611,0.53461,0.697096
NDVI,-0.080652,0.550485,-0.083218,0.106328,0.547357,0.71581
NDVI,0.011475,0.564714,-0.058442,0.07866,0.560057,0.73307
NDVI,0.103601,0.578943,-0.032421,0.047789,0.572546,0.748714
NDVI,0.195727,0.593172,-0.005351,0.014227,0.585042,0.762726
NDVI,0.287853,0.607401,0.022596,-0.021626,0.597879,0.7752
NDVI,0.37998,0.62163,0.051405,-0.059406,0.610781,0.786086
NDVI,0.472106,0.635859,0.080913,-0.098633,0.624045,0.79553
NDVI,0.564232,0.650088,0.110696,-0.138953,0.637771,0.803872
NDVI,0.656358,0.664317,0.140278,-0.179898,0.65141,0.811646
NDVI,0.748485,0.678546,0.169694,-0.220784,0.664729,0.81922
