Feature,VIF
BCR,5.389637148725913
FAR,5.365244450746576
AHI,3.8667108887397594
NB_AHI,3.4522444002502177
NB_BCR,2.750259211226248
DIS_MRT,1.8641323329095776
NDVI,1.6178830845789167
DIS_CBD,1.4140848670336699
