label,RMSE,MAE,R2_ECSI,R2_SEVI
GATv2 Train,0.0921461329752105,0.05883151292800903,0.5617097616195679,0.6801761984825134
GATv2 Val,0.10667565123368423,0.06654622405767441,0.41577720642089844,0.6322752833366394
GATv2 Test,0.11005850929859512,0.0683697983622551,0.353235125541687,0.6387447118759155
OLS,0.1328175838282838,0.08824270218610764,0.09146064519882202,0.3820306658744812
MLP_sk,0.1238335748129063,0.07996097207069397,0.1832340955734253,0.5370643138885498
Ablation (no graph),0.14818222280571805,0.10040952265262604,-0.11578166484832764,0.18916285037994385
