Group,Members,Mean_AbsSHAP_ECSI,Mean_AbsSHAP_SEVI,Total_AbsSHAP
BCR (local+nbr),"BCR, NB_BCR",0.384053,0.9849,1.368953
AHI (local+nbr),"AHI, NB_AHI",0.280132,0.480362,0.760494
FAR,FAR,0.529119,0.189377,0.718496
NDVI,NDVI,0.270603,0.173012,0.443616
DIS_CBD,DIS_CBD,0.310139,0.12476,0.434899
DIS_MRT,DIS_MRT,0.099404,0.200148,0.299551
