Group,Members,N_features,R2_drop_ECSI,R2_drop_SEVI,Total_Drop
BCR (local+nbr),"BCR, NB_BCR",2,0.7605,0.217,0.9775
FAR,FAR,1,0.5355,0.0371,0.5725
AHI (local+nbr),"AHI, NB_AHI",2,0.2949,0.1881,0.4829
DIS_CBD,DIS_CBD,1,0.3924,0.0885,0.4809
DIS_MRT,DIS_MRT,1,0.1804,0.1043,0.2847
NDVI,NDVI,1,0.1895,0.092,0.2815
