Feature,R2_drop_ECSI,R2_drop_SEVI,Total_Drop,High_VIF
FAR,0.5355,0.0371,0.5725,False
BCR,0.2809,0.2884,0.5693,True
NB_BCR,0.3693,0.1359,0.5052,True
DIS_CBD,0.3924,0.0885,0.4809,False
NB_AHI,0.1749,0.1542,0.3291,True
DIS_MRT,0.1804,0.1043,0.2847,False
NDVI,0.1895,0.092,0.2815,False
AHI,0.1032,0.0529,0.1561,True
