OBJECTID,BCR,FAR,AHI,ABV,NB_BCR,NB_FAR,NB_AHI,NB_ABV,NDVI,NDWI,DIS_MRT,DIS_CBD,LST,NTL,POI,RND,Shape_Leng,Shape_Area,PM25,CO2,POPU,LSI,LPI,MENN,SHDI,SVF,BHD,Albedo,PRICE_PSM,POI_COUNT,POI_DIVERS,ECSI,SEVI,geometry,node_idx,X,Y,Archetype,Applied_dNDVI,Applied_dLSI,Blocked_by_BCR,ECSI_Simulated,SEVI_Simulated,d_ECSI,d_SEVI,Pareto_Score
2363,0.324358,3.1362,30.165,29.0068,0.401842951775,4.43374199337,32.9988100264,32.6571116977,0.442125,-0.369871,773.94,22219.9,42.609,0.758004,0,0.0519593,800.000000004,40000.0000004,18.982,2080960.0,0.0,2.476190476190476,27.664399092970523,18.284271247461902,0.594965792937932,0.9667,4.0546,0.1537,0.0,1,0.0,0.959456,0.121651,"POLYGON ((8067.538000001572 33948.7210000027, 7867.537999999709 33948.7210000027, 7867.537999999709 34148.7210000027, 8067.538000001572 34148.7210000027, 8067.538000001572 33948.7210000027))",2035,7967.538000000641,34048.72100000269,Balanced Transition,0.09838860000000005,0.0,Yes,0.73725075,0.32011715,-0.2222052547035217,0.19846614577674865,0.6428766551837921
2689,0.350681,2.74059,19.7754,23.4451,0.297610848078,3.05659735203,31.0545891353,30.4591554914,0.304902,-0.270519,785.36,22077.9,44.7537,0.733963,0,0.0515224,800.000000004,40000.0000004,19.2153,2080960.0,0.0,2.119047619047619,31.519274376417233,49.855438643473676,0.824138844171193,0.9553,4.4914,0.1405,0.0,2,0.0,0.984307,0.117913,"POLYGON ((8067.538000001572 33148.721000000834, 7867.537999999709 33148.721000000834, 7867.537999999709 33348.721000000834, 8067.538000001572 33348.721000000834, 8067.538000001572 33148.721000000834))",2309,7967.538000000641,33248.721000000834,Balanced Transition,0.2145532,0.2529036004645757,Yes,0.79396737,0.34546307,-0.19033963378143315,0.22755006729316712,0.6082293348560335
8258,0.0735124,0.394786,14.2133,16.111,0.202876448099,1.66941971332,21.8668969018,21.7322735105,0.41089,-0.298008,1501.39,12533.9,40.6448,0.770053,0,0.0327305,799.999999994,39999.9999994,20.8772,15608.8,18386.5,3.014705882352941,26.73611111111111,71.41692352388294,1.332765183367079,0.9939,2.9233,0.1458,0.0,0,0.0,0.424079,0.18595,"POLYGON ((41467.53799999971 34348.7210000027, 41267.53800000064 34348.7210000027, 41267.53800000064 34548.721000000834, 41467.53799999971 34548.721000000834, 41467.53799999971 34348.7210000027))",6962,41367.53800000018,34448.721000001766,Ecological Buffer,0.33030008,0.0,Yes,0.28026637,0.4744593,-0.14381262565040587,0.28850929050445556,0.5761345418052672
5363,0.0345453,0.0983185,8.53823,8.53821,0.129926790794,0.754828849186,16.3034272194,15.349348863,0.23738496,-0.155708,1131.35,12795.1,41.0567,0.790756,0,0.00920341,800.000000002,40000.0000002,20.8772,15608.8,18386.5,1.202380952380952,92.29024943310658,0.0,0.273242963704628,0.9877,1.8927,0.2006,0.0,2,0.0,0.426883,0.18694,"POLYGON ((41667.53800000064 34548.721000000834, 41467.53799999971 34548.721000000834, 41467.53799999971 34748.721000000834, 41667.53800000064 34748.721000000834, 41667.53800000064 34548.721000000834))",4550,41567.538000000175,34648.721000000834,Ecological Buffer,0.5349788000000001,1.0095938375350144,Yes,0.26436388,0.43343163,-0.16251911507415773,0.24649162536621094,0.5715298555145264
3943,0.195138,1.57094,26.6679,24.1513,0.21939646701,1.77951095502,27.1709184647,25.7323108249,0.469514,-0.410472,695.84,13917.4,39.097,0.753727,2,0.0439802,800.0,40000.0,18.2352,25715.1,13898.4,2.214285714285714,41.26984126984127,21.622776601683796,1.343708922233803,0.8266,25.0649,0.1592,5250.0,18,0.965,0.300414,0.436549,"POLYGON ((17467.53799999971 35948.721000000834, 17267.53799999971 35948.721000000834, 17267.53799999971 36148.721000000834, 17467.53799999971 36148.721000000834, 17467.53799999971 35948.721000000834))",3375,17367.53799999971,36048.721000000834,Economic Anchor,0.12640030000000002,0.7452380952380961,No,0.19253941,0.58743143,-0.10787459119701387,0.15088243081665037,0.3666316132106781
502,0.287946,2.72346,23.87,28.3747,0.236804813147,2.08131070932,26.1152860853,27.538646698,0.526032,-0.427439,672.4,16331.9,42.6753,0.756575,3,0.0434068,800.0,40000.0,17.1543,19795.9,25725.4,1.714285714285714,72.56235827664399,100.0,0.745848629328573,0.4525,10.6936,0.1443,4431.0,37,0.8927,0.275543,0.442904,"POLYGON ((15267.53800000064 36948.721000000834, 15067.53800000064 36948.721000000834, 15067.53800000064 37148.721000000834, 15267.53800000064 37148.721000000834, 15267.53800000064 36948.721000000834))",427,15167.53800000064,37048.721000000834,Economic Anchor,0.04361119999999996,1.2452380952380961,Yes,0.19045663,0.5976054,-0.0850863712005615,0.15470140723800657,0.3248741496391296
