label,RMSE_ECSI,RMSE_SEVI,MAE_ECSI,MAE_SEVI,R2_ECSI,R2_SEVI
GATv2 Train,0.02095476021442401,0.06731333121943858,0.01604795642197132,0.048425957560539246,0.958814263343811,0.8545013666152954
GATv2 Val,0.028209509600743133,0.07570523906173088,0.019859187304973602,0.05433793365955353,0.9234419465065002,0.8159413933753967
GATv2 Test,0.028838431133342397,0.07784873874020225,0.02020336128771305,0.0560450404882431,0.9179014563560486,0.811155378818512
OLS,0.08656246885065007,0.1155799597573528,0.06651080399751663,0.09348423033952713,0.2603068947792053,0.5837382078170776
MLP_sk,0.07184163931267838,0.10322967657001152,0.05369497835636139,0.08008188754320145,0.4904993176460266,0.667944610118866
Ablation (no graph),0.1537269133199194,0.16283148485558527,0.11960570514202118,0.12556901574134827,-1.3328783512115479,0.17381328344345093
