src,dst,edge_mask,archetype
4316,5345,0.90148,Economic Anchor
4011,5345,0.873254,Economic Anchor
7745,5345,0.86901,Economic Anchor
1733,5345,0.867597,Economic Anchor
804,5345,0.863814,Economic Anchor
521,5345,0.863614,Economic Anchor
6798,5345,0.863331,Economic Anchor
6959,5345,0.85472,Economic Anchor
1641,5345,0.84829,Economic Anchor
4303,5345,0.847033,Economic Anchor
