src,dst,edge_mask,archetype
29,4264,0.907751,Ecological Buffer
7482,4264,0.896171,Ecological Buffer
6223,4264,0.892006,Ecological Buffer
7221,4264,0.877114,Ecological Buffer
8892,4264,0.870561,Ecological Buffer
5745,4264,0.869904,Ecological Buffer
2173,4264,0.854194,Ecological Buffer
4964,4264,0.853053,Ecological Buffer
8976,4264,0.848004,Ecological Buffer
1324,4264,0.845553,Ecological Buffer
