OBJECTID,ECSI,SEVI
318,0.340602,0.079953
319,0.350808,0.462496
320,0.438902,0.607296
321,0.303675,0.418445
322,0.187046,0.313203
323,0.252158,0.089166
324,0.37955,0.517433
325,0.210929,0.4033
326,0.362511,0.5195
327,0.134202,0.384253
328,0.4144,0.516551
329,0.192549,0.463523
330,0.266072,0.433702
331,0.410315,0.305672
332,0.388758,0.294748
333,0.087945,0.383264
334,0.103132,0.224616
335,0.326395,0.362709
336,0.189128,0.098998
337,0.17314,0.03772
338,0.36195,0.43591
339,0.348552,0.303024
340,0.433094,0.130978
341,0.463044,0.405317
342,0.300976,0.432247
343,0.393148,0.118899
344,0.078948,0.047938
345,0.190467,0.041953
346,0.375918,0.148907
347,0.456418,0.626273
349,0.240336,0.480274
350,0.34963,0.592736
351,0.154803,0.06401
352,0.284101,0.477904
354,0.280622,0.111796
355,0.312703,0.487374
358,0.351487,0.519306
359,0.30486,0.149475
360,0.242909,0.083766
362,0.347438,0.384636
363,0.35857,0.065493
364,0.489356,0.412392
365,0.246492,0.125191
366,0.364489,0.278785
367,0.382328,0.477364
368,0.153282,0.580863
369,0.372716,0.110975
371,0.371657,0.403607
372,0.362411,0.40228
373,0.443535,0.417338
374,0.445059,0.722214
375,0.151191,0.283625
376,0.383839,0.111467
377,0.261355,0.437925
378,0.35866,0.49571
380,0.417544,0.533338
381,0.178259,0.038632
382,0.200815,0.422537
383,0.427609,0.497139
384,0.30347,0.12809
386,0.228418,0.406319
387,0.426288,0.458602
388,0.175071,0.096473
389,0.238315,0.524992
390,0.387047,0.053627
391,0.33298,0.302496
392,0.359106,0.766767
393,0.434411,0.354947
394,0.236684,0.727694
395,0.421012,0.490694
396,0.450314,0.332665
397,0.222786,0.457315
398,0.262265,0.501409
399,0.407616,0.529102
400,0.377074,0.301579
401,0.378518,0.179675
402,0.455468,0.644848
403,0.17071,0.387084
404,0.438443,0.237162
405,0.324967,0.306639
406,0.422054,0.47485
408,0.412977,0.48018
409,0.296049,0.422788
410,0.324215,0.477204
411,0.348352,0.134492
412,0.283924,0.128175
413,0.14778,0.065948
414,0.416056,0.12354
415,0.279951,0.049484
416,0.354481,0.517509
417,0.232921,0.482309
418,0.295234,0.360002
419,0.488147,0.408891
420,0.320894,0.122244
422,0.359247,0.359589
423,0.450746,0.402478
424,0.338451,0.460938
426,0.083775,0.018706
427,0.50651,0.415246
428,0.137564,0.091895
429,0.433661,0.428351
430,0.385689,0.30616
434,0.31108,0.567846
435,0.184509,0.402278
437,0.369959,0.111357
438,0.360649,0.129774
439,0.440938,0.425999
440,0.194874,0.40401
441,0.41219,0.454777
442,0.395381,0.552933
443,0.279127,0.430079
444,0.302042,0.09429
445,0.310366,0.422641
447,0.346531,0.489755
448,0.212972,0.520773
449,0.21214,0.17941
450,0.436517,0.133273
451,0.290332,0.363682
453,0.470826,0.427468
454,0.390583,0.491378
455,0.480937,0.405046
456,0.231635,0.487313
457,0.278506,0.482773
458,0.394279,0.469525
459,0.025791,0.044587
460,0.489667,0.414063
461,0.322437,0.419815
462,0.163729,0.355459
463,0.075065,0.039764
464,0.368513,0.295369
465,0.246416,0.54427
466,0.320488,0.486116
467,0.284154,0.122811
469,0.305771,0.389572
470,0.325847,0.498143
471,0.159093,0.313095
472,0.458517,0.377125
473,0.307545,0.11245
474,0.37391,0.269735
476,0.334298,0.092355
477,0.159396,0.096755
478,0.262396,0.446774
479,0.166092,0.41232
480,0.179502,0.142664
481,0.364459,0.306928
482,0.357526,0.718246
483,0.433911,0.364727
484,0.382173,0.448401
485,0.109629,0.439978
486,0.44687,0.543701
487,0.314508,0.300003
488,0.372271,0.493793
489,0.147605,0.034383
493,0.00852,0.021527
494,0.34923,0.462995
495,0.260117,0.283701
496,0.279579,0.494937
497,0.128385,0.460086
498,0.417031,0.450043
499,0.13919,0.473682
500,0.34445,0.354426
501,0.413301,0.076088
502,0.275543,0.442904
503,0.437598,0.517355
504,0.257838,0.102599
505,0.389247,0.103799
506,0.454287,0.108318
507,0.378535,0.103437
508,0.154146,0.42328
509,0.260991,0.112338
510,0.382245,0.465152
511,0.118741,0.472768
512,0.365456,0.709244
513,0.316297,0.129757
514,0.322839,0.331356
515,0.399223,0.123412
516,0.424824,0.429414
517,0.446599,0.35362
518,0.410002,0.449996
519,0.385508,0.431646
520,0.196031,0.539338
521,0.382041,0.43106
522,0.178198,0.042995
523,0.112885,0.092172
524,0.426378,0.531956
525,0.302394,0.431874
527,0.414909,0.349388
528,0.084428,0.025307
529,0.376791,0.441901
530,0.2537,0.508789
531,0.171593,0.403623
532,0.42567,0.659506
534,0.43367,0.354522
535,0.393434,0.461852
536,0.304596,0.450455
537,0.340962,0.441379
538,0.290087,0.46637
539,0.33447,0.565456
540,0.363355,0.512652
542,0.333386,0.46865
543,0.342555,0.657675
544,0.294523,0.127015
546,0.461148,0.522149
547,0.217195,0.434269
548,0.145988,0.483877
550,0.393263,0.402688
551,0.359138,0.691579
553,0.389063,0.332075
554,0.415593,0.134961
555,0.152412,0.048469
556,0.277255,0.181735
557,0.366315,0.4964
558,0.403971,0.446129
559,0.190549,0.45482
560,0.159623,0.439798
561,0.363011,0.280864
562,0.19523,0.03806
563,0.300999,0.393031
564,0.379071,0.46869
565,0.274298,0.659666
566,0.219601,0.284848
567,0.362805,0.658298
568,0.362732,0.594352
569,0.273807,0.487924
570,0.389269,0.119361
571,0.305811,0.416725
572,0.171959,0.106314
575,0.410849,0.57744
576,0.431681,0.453471
577,0.223867,0.29711
578,0.394017,0.362837
579,0.370528,0.420655
580,0.356413,0.542656
581,0.0,0.017981
582,0.340519,0.128608
583,0.228303,0.293471
584,0.222497,0.069213
585,0.426268,0.465522
586,0.402448,0.346436
587,0.372689,0.158867
588,0.11221,0.078423
589,0.168805,0.188985
590,0.392651,0.408761
592,0.319874,0.50127
593,0.389088,0.103962
594,0.253655,0.432688
595,0.254555,0.58581
596,0.298833,0.126211
597,0.44715,0.464167
598,0.231491,0.482075
599,0.32869,0.132731
600,0.38599,0.115422
601,0.37978,0.158107
604,0.306414,0.496389
605,0.260139,0.137088
606,0.199729,0.072565
607,0.25428,0.547673
609,0.434678,0.450056
610,0.226767,0.274295
611,0.435596,0.540791
612,0.227978,0.435579
613,0.36589,0.386533
614,0.317129,0.540767
615,0.39831,0.625361
616,0.411598,0.444761
617,0.313129,0.460268
618,0.190534,0.318249
619,0.311066,0.556807
620,0.328471,0.285862
621,0.308585,0.409915
622,0.360278,0.299231
623,0.460795,0.668982
626,0.354038,0.394375
627,0.282143,0.143397
628,0.408034,0.522401
629,0.31252,0.14206
630,0.310029,0.518991
631,0.343305,0.453204
632,0.380092,0.554715
633,0.309823,0.146021
634,0.217395,0.683042
635,0.412055,0.661821
636,0.397559,0.542221
637,0.388549,0.381357
638,0.467542,0.391708
639,0.459478,0.515316
640,0.249031,0.519938
641,0.143407,0.507066
643,0.112156,0.346772
644,0.375675,0.488832
645,0.376462,0.399837
646,0.461774,0.54376
647,0.367738,0.474638
648,0.367937,0.286919
649,0.356379,0.12053
650,0.328613,0.092392
651,0.247759,0.524162
652,0.353441,0.419873
653,0.335382,0.111022
655,0.286546,0.27152
656,0.313669,0.682828
658,0.112861,0.365921
659,0.126621,0.059323
661,0.135933,0.07648
662,0.262012,0.487989
664,0.248614,0.534794
666,0.379722,0.486203
667,0.313953,0.30436
668,0.282604,0.425269
670,0.405136,0.505825
671,0.37972,0.141625
672,0.255786,0.51453
673,0.362755,0.304611
674,0.354518,0.298151
675,0.396675,0.486796
676,0.418561,0.312389
677,0.094249,0.076562
679,0.177408,0.283921
680,0.167162,0.427362
681,0.179058,0.038057
682,0.154456,0.085538
683,0.149513,0.085318
684,0.426651,0.423468
685,0.346611,0.379182
686,0.349384,0.48427
688,0.140033,0.227248
690,0.265177,0.115101
691,0.447265,0.541694
692,0.390524,0.104561
694,0.410045,0.221637
695,0.214341,0.453997
696,0.441184,0.435782
697,0.190993,0.057821
698,0.325954,0.15355
699,0.357222,0.142763
701,0.153613,0.238191
702,0.32367,0.57424
704,0.227917,0.575366
705,0.307057,0.026978
706,0.195413,0.126359
707,0.236394,0.348321
708,0.411131,0.124124
709,0.378532,0.285507
710,0.161017,0.077763
711,0.432083,0.294479
712,0.389921,0.517716
713,0.159386,0.078852
714,0.320209,0.125015
715,0.053863,0.02776
716,0.233648,0.095216
718,0.479834,0.393486
719,0.319781,0.409506
720,0.458826,0.401729
721,0.363574,0.593165
722,0.250773,0.441023
724,0.405612,0.251206
725,0.311636,0.444397
726,0.33656,0.518529
727,0.342343,0.240145
728,0.27398,0.280339
729,0.426041,0.714918
730,0.250963,0.495508
732,0.148593,0.074064
