OBJECTID,LSI,LPI,MENN,SHDI
1,2.1547619047619047,40.78341013824885,38.25619512881517,0.901259466233363
2,2.4166666666666665,66.66666666666667,59.008295174508476,0.987618514425061
3,1.6785714285714286,75.96371882086167,10.0,0.4313073437650833
4,3.380952380952381,29.931972789115648,22.73737713551227,1.3324244314289908
6,2.2738095238095237,52.38095238095238,40.144240083371585,0.9602755427165297
7,1.6547619047619047,69.16099773242631,42.633386525763946,0.5045007214245907
8,1.0,100.0,0.0,0.6900666586707636
9,1.6547619047619047,72.56235827664399,18.284271247461902,0.3492444842557457
10,1.8333333333333333,40.816326530612244,43.333333333333336,1.0693554039795619
11,1.1904761904761905,95.85253456221199,0.0,0.14804224682624068
12,2.6538461538461537,49.681528662420384,150.0,0.7700885286740152
13,1.0,100.0,0.0,0.6900666586707636
14,2.1666666666666665,43.31065759637188,32.97381007355742,0.8910064235969244
15,1.8214285714285714,59.183673469387756,18.284271247461902,0.41751165738249474
16,1.0476190476190477,99.31972789115646,0.0,0.03021296566677581
17,2.392857142857143,34.240362811791385,15.650063182961166,0.9949434156712103
18,2.9404761904761907,25.396825396825395,10.0,0.5655812655472677
19,1.880952380952381,47.61904761904762,26.055512754639892,0.8104287352501487
20,1.5119047619047619,84.35374149659864,0.0,0.5455843739200161
21,1.0,100.0,0.0,0.6900666586707636
23,1.869047619047619,58.73015873015873,18.95346881172206,0.6900666586707636
24,1.9047619047619047,45.57823129251701,0.0,1.003791602481757
25,2.0952380952380953,82.76643990929705,21.36306377541722,0.556701224931039
27,1.9125,72.89002557544757,0.0,0.7128860532409329
28,1.0,100.0,0.0,0.6900666586707636
30,2.4047619047619047,37.868480725623584,22.42236101956639,0.6331623242387419
31,2.0833333333333335,53.74149659863946,21.875804491832394,0.4683107728127525
32,1.7380952380952381,53.51473922902494,43.851648071345046,0.8795820503084484
34,2.2857142857142856,49.43310657596372,12.841368412859124,0.8406243621163774
35,1.2619047619047619,84.80725623582767,0.0,0.41646373300315087
36,2.7023809523809526,50.588235294117645,16.12859486121059,1.0289722394101721
37,1.5,66.66666666666667,30.0,0.41646373300315087
38,1.75,51.24716553287982,83.3984375,0.8716882995653723
39,1.6071428571428572,82.99319727891157,31.231056256176604,0.4900980918373632
